record_id,deal_name,pipeline,deal_stage,deal_status,deal_amount,deal_forecast,deal_certainty,deal_type,deal_source,deal_brand,deal_notes,deal_category,deal_created_date,deal_close_date,deal_company_id,deal_contact_id,deal_owner,original_stage,original_status,processing_date,transformation_notes
7505,Services avec equipes 2 ETP,Sales Pipeline,Closed Won,Won,0,240000,100,Desogn_Service,Unknown,ICALPS,"d'avril �� fin decembre 2024 dans la continuite de la collaboration avec Crocus avant rachat.
Au temps passe avec facturation mensuelle min de 25 k��� et max de 30 k��� (avec reduction sur la periode estivale avec juillet:ao��t comptabilises comme 1 mois)",Opportunity,45379.36603,45382,9061,25733,31,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7506,TTT22B-WP1,Sales Pipeline,Closed Won,Won,0,5000,100,Desogn_Service,Unknown,ICALPS,Commande de l'analyse du DK,Opportunity,45380.69487,45380,9103,10859,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7507,SHAG-ValidPlan,Sales Pipeline,Closed Dead,Lost,0,15000,0,Desogn_Service,Unknown,ICALPS,"Support & conseils pour Validation PLan, analyse de resultats dans labo SilMach, et proposition pour mise en place de tests industriels (wafer et circuits packages)

0 news sur le besoin en depit des relances ...",Opportunity,45391.72589,45458,17205,25694,31,Identified,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
7509,Wallis-Preetude,Sales Pipeline,Closed Won,Won,0,100000,100,FTK,Unknown,ICALPS,Analyse des points durs,Opportunity,45400.43692,45433,15153,18072,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7510,SAMOA,Sales Pipeline,Closed Dead,Lost,0,3150000,10,FTK,Unknown,ICALPS,Medical,Opportunity,45400.43772,46021,21029,25747,27,Negotiate,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
7512,Quemenes ASIC,Sales Pipeline,Identified,Active,0,450000,1,FTK,Unknown,ICALPS,Proto,Opportunity,45407.4688,45961,20933,25737,27,Identified,En cours,14/07/2025,Standard mapping applied
7513,Flores - WP2- Testchip,Sales Pipeline,Identified,Active,0,1100000,10,Desogn_Service,Unknown,ICALPS,Offre �� mettre �� jour apr̬s le WP1,Opportunity,45414.48889,46112,20982,NA,39,Identified,En cours,14/07/2025,Standard mapping applied
7514,3 licences X100 pour 3 mois,Sales Pipeline,Closed Won,Won,0,21400,100,Desogn_Service,Unknown,ICALPS,"Installation de 3 licences X100 sur le serveur pour Wisekey et ce pour une duree de 3 mois
ou installation de 8 Questa Sim pour 1 mois + 4 questa pour 2 mois (options 2 et 3)",Opportunity,45425.58012,45458,2153,2217,31,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7515,REDA100G ASIC,Sales Pipeline,Closed Dead,Lost,0,10920000,0,FTK,Unknown,ICALPS,"complete design up to industrialization (ball park)

MAJ ce 13/06 avec boitier BGA qu'avec l'ASIC + IP de Synosys",Opportunity,45426.75434,45596,18600,25616,31,Identified,Perdue,14/07/2025,Moved to Closed Dead (lost status)
7516,Avenant 23,Sales Pipeline,Closed Won,Won,0,45170,100,FTK,Unknown,ICALPS,Finalisation TPEC,Opportunity,45435.61267,45442,4247,19104,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7517,WESAT-DB130-Amd1,Sales Pipeline,Closed Won,Won,0,20000,100,Desogn_Service,Unknown,ICALPS,Add work,Opportunity,45435.61352,45448,18686,23167,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7519,Suze (2 ASICs dans ZeUS),Sales Pipeline,Closed Won,Won,0,2558000,100,FTK,Unknown,ICALPS,"avec RADICUS2 (v2 de Radicus pour sonde ICE)
+ ASIC pour echographie cardiaque ou transoesophagienne
+ ASIC neurostimulation",Opportunity,45435.70563,45632,3187,3293,31,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7520,Merapi,Sales Pipeline,Design In,Active,0,995000,55,Desogn_Service,Unknown,ICALPS,"avec USB pour application type Yubikey
sur la base d'un derive du circuit Vesuve
Position du client de demarrer ce projet sur fond propre, potentiellement avant fin Q2-25

Mise en sommeil 17/04/2025 car manifestement nouvelle priorite SEALSQ via leur plateforme et le fait que Goggle ne passe pas commande �� ce stade ...
A suivre",Opportunity,45435.70659,45991,2153,2217,31,Negotiate,En cours,14/07/2025,Standard mapping applied
7521,Design & verification,Sales Pipeline,On-Hold,On-Hold,0,1000000,49,Desogn_Service,Unknown,ICALPS,"Le service juridique de Cap Gemini en Espagne a fait une due diligence aupr̬s de OpenChip et ils auraient/ont trouve des malversations entre OpenChip et certaines personnes dans des instances etatiques en Espagne (corruption ou retro commission ou quelque chose du genre).
",Opportunity,45436.36144,45670,21048,25770,39,Design in,Abandonnee,14/07/2025,Moved to On-Hold (abandoned + high certainty)
7522,MOLENE-WP1,Sales Pipeline,On-Hold,On-Hold,0,90000,80,Desogn_Service,Unknown,ICALPS,Conception d'un ASIC,Opportunity,45456.6061,45541,21054,25778,27,Identified,Abandonnee,14/07/2025,Moved to On-Hold (abandoned + high certainty)
7523,PEGASUS - WP1 Specification,Sales Pipeline,Closed Won,Won,0,60000,100,FTK,Unknown,ICALPS,"BCI (Brain Computer Interface) ASIC
WP1- 60k���
WP2 Design 700k���
WP3 Prototyping 600k���
WP4- Industrialization 750k���",Opportunity,45457.36299,45475,21056,25779,39,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7524,15 cartes de proto Charav1b + accelero,Sales Pipeline,Closed Won,Won,0,13400,100,FTK,Unknown,ICALPS,"Tout est dans le titre ...
Cartes comme celles livrees en Q1'24",Opportunity,45462.63376,45504,3176,25780,31,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
7525,URANUS 2 amendment 2,Sales Pipeline,Closed Won,Won,0,122880,100,Desogn_Service,Unknown,ICALPS,Commande supplementaire pour finir le projet,Opportunity,45463.34534,45485,11778,NA,39,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
